ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count
2023,29,2023-07-17,.Property,Direct,MOBILE,3,18,503,717,1617,0,0
2023,29,2023-07-17,.Property,Direct,NON-MOBILE,9,32,685,1026,1648,0,0
2023,29,2023-07-17,.Property,Other,MOBILE,1,7,38,65,133,0,0
2023,29,2023-07-17,.Property,Other,NON-MOBILE,2,6,126,271,536,0,0
2023,29,2023-07-17,.Property,Paid,MOBILE,0,8,386,390,860,0,0
2023,29,2023-07-17,.Property,Paid,NON-MOBILE,15,41,724,1005,1654,0,0
2023,29,2023-07-17,.Property,SEO,MOBILE,4,7,217,319,525,0,0
2023,29,2023-07-17,.Property,SEO,NON-MOBILE,16,37,675,973,1758,0,0
2023,29,2023-07-17,.Property,Undefined,MOBILE,0,2,26,29,25,0,0
2023,29,2023-07-17,.Property,Undefined,NON-MOBILE,0,0,46,85,89,0,0
2023,30,2023-07-24,./corporate/,Direct,MOBILE,0,0,11,0,5,0,0
2023,30,2023-07-24,./corporate/,Direct,NON-MOBILE,0,0,0,0,5,0,0
2023,30,2023-07-24,./corporate/,Other,NON-MOBILE,0,0,0,0,1,0,0
2023,30,2023-07-24,./corporate/,SEO,MOBILE,0,4,53,41,87,0,0
2023,30,2023-07-24,./corporate/,SEO,NON-MOBILE,2,8,86,65,137,0,0
2023,30,2023-07-24,./housing/,Direct,MOBILE,7,13,125,144,210,0,0
2023,30,2023-07-24,./housing/,Direct,NON-MOBILE,7,20,155,220,427,0,0
2023,30,2023-07-24,./housing/,Other,MOBILE,0,0,1,8,10,0,0
2023,30,2023-07-24,./housing/,Other,NON-MOBILE,1,1,13,125,161,0,0
2023,30,2023-07-24,./housing/,Paid,MOBILE,2,17,127,125,240,0,0
2023,30,2023-07-24,./housing/,Paid,NON-MOBILE,11,24,195,270,462,0,0
2023,30,2023-07-24,./housing/,SEO,MOBILE,3,21,178,159,228,0,0
2023,30,2023-07-24,./housing/,SEO,NON-MOBILE,17,56,213,324,584,0,0
2023,30,2023-07-24,./housing/,Undefined,MOBILE,0,0,5,7,12,0,0
2023,30,2023-07-24,./housing/,Undefined,NON-MOBILE,0,2,20,19,20,0,0
2023,30,2023-07-24,./members/,Direct,MOBILE,48,147,146,252,496,0,0
2023,30,2023-07-24,./members/,Direct,NON-MOBILE,162,290,447,591,886,0,0
2023,30,2023-07-24,./members/,Other,MOBILE,1,2,15,3,25,0,0
2023,30,2023-07-24,./members/,Other,NON-MOBILE,10,20,21,82,118,0,0
2023,30,2023-07-24,./members/,Paid,MOBILE,13,41,160,218,296,0,0
2023,30,2023-07-24,./members/,Paid,NON-MOBILE,76,116,471,607,772,0,0
2023,30,2023-07-24,./members/,SEO,MOBILE,9,20,43,122,114,0,0
2023,30,2023-07-24,./members/,SEO,NON-MOBILE,99,149,325,636,797,0,0
2023,30,2023-07-24,./members/,Undefined,MOBILE,3,5,6,10,5,0,0
2023,30,2023-07-24,./members/,Undefined,NON-MOBILE,7,9,25,45,78,0,0
2023,30,2023-07-24,.Home,Direct,MOBILE,150,510,591,709,1344,0,0
2023,30,2023-07-24,.Home,Direct,NON-MOBILE,346,725,789,1197,1929,0,0
2023,30,2023-07-24,.Home,Other,MOBILE,8,57,44,51,72,0,0
2023,30,2023-07-24,.Home,Other,NON-MOBILE,29,64,44,182,238,0,0
2023,30,2023-07-24,.Home,Paid,MOBILE,128,501,890,973,1727,0,0
2023,30,2023-07-24,.Home,Paid,NON-MOBILE,379,864,1242,1756,2442,0,0
2023,30,2023-07-24,.Home,SEO,MOBILE,45,193,301,398,719,0,0
2023,30,2023-07-24,.Home,SEO,NON-MOBILE,303,714,996,1605,2590,0,0
2023,30,2023-07-24,.Home,Undefined,MOBILE,2,13,34,17,48,0,0
2023,30,2023-07-24,.Home,Undefined,NON-MOBILE,5,6,8,10,52,0,0
2023,30,2023-07-24,.LYP,Direct,MOBILE,240,798,1,0,19,0,0
2023,30,2023-07-24,.LYP,Direct,NON-MOBILE,163,361,0,4,17,0,0
2023,30,2023-07-24,.LYP,Other,MOBILE,6,60,0,0,0,0,0
2023,30,2023-07-24,.LYP,Other,NON-MOBILE,12,28,1,1,0,0,0
2023,30,2023-07-24,.LYP,Paid,MOBILE,60,121,1,2,7,0,0
2023,30,2023-07-24,.LYP,Paid,NON-MOBILE,81,143,1,1,8,0,0
2023,30,2023-07-24,.LYP,SEO,MOBILE,25,76,0,0,0,0,0
2023,30,2023-07-24,.LYP,SEO,NON-MOBILE,69,158,1,1,6,0,0
2023,30,2023-07-24,.LYP,Undefined,MOBILE,13,33,0,0,0,0,0
2023,30,2023-07-24,.LYP,Undefined,NON-MOBILE,3,9,0,0,0,0,0
2023,30,2023-07-24,.Other,Direct,MOBILE,58,210,50,121,141,0,0
2023,30,2023-07-24,.Other,Direct,NON-MOBILE,90,188,96,125,247,0,0
