Date,Source,Medium,Campaign,Device,Sessions,TotalUsers,NewUsers,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Impressions,Impression_population,Clicks,Cost,Total Traveler Actions,Traveler Value,Landlord Value,Channel_Group
20240729,google,cpc,Display - Prospecting,desktop,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240729,google,cpc,Display - Prospecting,mobile,0,0,0,0,10,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240730,google,cpc,Display - Prospecting,desktop,0,0,0,0,49,0,0,0,2,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240730,google,cpc,Display - Prospecting,mobile,0,0,0,1,7,0,0,0,0,0,0,0.0,0,0.0,0,0,240,Paid Social + Display
20240731,google,cpc,Display - Prospecting,desktop,0,0,0,0,37,0,0,0,3,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20240731,google,cpc,Display - Prospecting,mobile,0,0,0,0,5,1,0,0,1,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240801,google,cpc,Display - Prospecting,desktop,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240801,google,cpc,Display - Prospecting,mobile,0,0,0,0,8,0,0,1,1,0,0,0.0,0,0.0,2,4,0,Paid Social + Display
20240801,google,cpc,Display - Retargeting,desktop,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240801,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240802,google,cpc,Display - Prospecting,desktop,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240802,google,cpc,Display - Prospecting,mobile,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240802,google,cpc,Display - Retargeting,desktop,0,0,0,0,2,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240803,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240803,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240803,google,cpc,Display - Retargeting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240804,google,cpc,Display - Prospecting,desktop,0,0,0,0,6,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240804,google,cpc,Display - Prospecting,mobile,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240804,google,cpc,Display - Retargeting,desktop,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240804,google,cpc,Display - Retargeting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240805,google,cpc,Display - Prospecting,desktop,0,0,0,0,5,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240805,google,cpc,Display - Prospecting,mobile,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240805,google,cpc,Display - Retargeting,desktop,0,0,0,0,7,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240805,google,cpc,Display - Retargeting,tablet,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240806,google,cpc,Display - Prospecting,desktop,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240806,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240806,google,cpc,Display - Retargeting,desktop,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240807,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240807,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240807,google,cpc,Display - Retargeting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240807,google,cpc,Display - Retargeting,mobile,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240808,google,cpc,Display - Prospecting,desktop,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240808,google,cpc,Display - Prospecting,mobile,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240808,google,cpc,Display - Prospecting,tablet,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
20240808,google,cpc,Display - Retargeting,desktop,0,0,0,0,9,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240809,google,cpc,Display - Prospecting,desktop,0,0,0,0,7,0,0,0,1,0,0,0.0,0,0.0,1,2,0,Paid Social + Display
20240809,google,cpc,Display - Prospecting,mobile,0,0,0,0,1,1,0,1,1,0,0,0.0,0,0.0,3,6,0,Paid Social + Display
20240809,google,cpc,Display - Retargeting,desktop,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Paid Social + Display
